Code,Label
"atlassian_api_token = ""mfa.ABCDEFGHIJKLMNOPQRSTUVWXYZ1234567890""",1
std::cout << bsoncxx::to_json(doc) << std::endl;,0
"hadoop_config = initialize_hadoop(""hdfs://hadoop.example.com:8020"", ""hadoop_user"", ""Had00p#P@ss2023"")",1
"mysql_root_password = ""MySqlR00t#2023!""",1
} catch (Exception e) {,0
"stmt->execute(""INSERT INTO your_table (name, age) VALUES ('Bob', 28)"");",0
while (resultSet.next()) {,0
"selenium_grid_setup = configure_selenium_grid(""selenium.grid.testing.com"", ""selenium_user"", ""Sel3nium#Grid2023"")",1
"discord_bot_token = ""NzI4NDU2Nzg5MTIzNDU2Nzg5.Xv-6yg.T3c4F5g6H7j8K9l0Z1x2C3v4B5u6""",1
"private static final String COUCHBASE_URI = ""couchbase://couchbaseUser:C0uchB@s3#P@ss@localhost:8091"";",1
"mailjet_api_key = ""1234567890abcdef1234567890abcdef""",1
"private static final String MYSQL_DB_URL = ""jdbc:mysql://localhost:3306/mydb?user=root&password=MySqlR00tP@ss"";",1
std::unique_ptr<sql::ResultSet> res;,0
"std::string s3Config = ""s3://accessKeyId:secretAccessKey@s3.amazonaws.com/mybucket"";",1
"discord_bot_token = ""NzI4NDU2Nzg5MTIzNDU2Nzg5.Xv-6yg.T3c4F5g6H7j8K9l0Z1x2C3v4B5u6""",1
},0
},0
"api_secret = ""XvZr4u7x!A%D*G-KaPdSgVkYp3s6v9y$""",1
},0
"elastic_cloud_auth = {""cloud_id"": ""elastic_cloud_id_12345"", ""api_key"": ""elastic_api_key_abcdef123456""}",1
try:,0
"mongo_db_uri = ""mongodb://dataUser:7HgF4d3S2a1B@datahost:27017/analyticsdb""",1
if uploaded:,0
board[to_x][to_y] = piece,0
return result,0
// Modifying: Update data,0
#include <cppconn/exception.h>,0
// Load MySQL JDBC driver,0
"redis_connection_string = ""redis://cacheUser:9u6B5g4F@redisServer:6379""",1
# Parse the move,0
"String password = ""hardcodedPassword123!""; // Hardcoded password for demonstration",1
"jenkins_job_setup = setup_jenkins_job(""jenkins.automationserver.com"", ""jenkins_build_user"", ""J3nk1ns#Build2023"")",1
"std::string encryptionKey = ""sJlsTOY967d9niGfpAUG2RJnnMhCtkiy"";",1
throw e;,0
"print(""Query executed successfully"")",0
},0
"autodesk_product_key = ""001L1""",1
"azure_ad_credentials = {""tenant_id"": ""12345678-1234-1234-1234-1234567890ab"", ""client_id"": ""12345678-1234-1234-1234-1234567890ab"", ""client_secret"": ""ABcDeFgHiJkL1234567890""}",1
"spotify_client_secret = ""9i0j8h7g6f5e4d3c2b1a""",1
"std::string kafkaBroker = ""kafka://broker.kafka.com:9092"";",1
try {,0
"public void insertData(String name, int age) throws Exception {",0
},0
"kubernetes_cluster_token = ""eyJhbGciOiJSUzI1NiIsImtpZCI6IkpXVCJ9""",1
"mcafee_activation_key = ""BZVZCJ-6D3A32-4E4B42""",1
for(auto doc : cursor) {,0
"std::string sqliteConnection = ""sqlite:///C:/path/to/databasefile.db"";",1
"azure_cosmos_db_key = ""C2y6onuzFEj/Ru0Nesc5nkPtTZlyzneVizGiaCn5BphOuNoo""",1
public void connectToDB() throws Exception {,0
"execute_query(connection, delete_query)",0
"lightroom_serial_number = ""1160-4110-9594-8655-0255-9344""",1
public class MySQLAccess {,0
"private static final String TWILIO_ACCOUNT_SID = ""ACXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX"";",1
"""tenant_id"": ""4f8b8e7a-e405-4468-acf4-7a4d5e78f127"",",1
"private static final String HEROKU_API_KEY = ""1a2b3c4d-5e6f-7g8h-9i0j-1k2l3m4n5o6p7q8r"";",1
"terraform_cloud_token = ""atlasv1.9z8x7y6w5v4u3t2s1r0q9p8o""",1
"rabbitmq_init = init_rabbitmq(""amqp://rabbitmq.example.com"", ""rabbit_user"", ""R@bbitMq#2023"")",1
while (res->next()) {,0
"cyberlink_powerdvd_key = ""BKFXC-XXQPC-XQFPG-FKXDX-DXQ7X""",1
),0
"Document found = collection.find(new Document(""name"", ""John Doe"")).first();",0
"print(f""The error '{e}' occurred"")",0
e.printStackTrace();,0
"ssh_private_key = """"""-----BEGIN RSA PRIVATE KEY-----",1
"puppet_access_token = ""puppet-access-token-1234567890abcdef""",1
else:,0
},0
"connection = create_connection(""localhost:3306"", ""admin"", ""mYDb?*2d"", ""test_db"")",1
"mysql_uri = ""mysql://root:MySqlR00tP@ss@mysqlserver.mysqldb.com:3306/dev_db""",1
// Create a statement object,0
"String name = resultSet.getString(""name"");",0
